ID,Binomial,English,Museum_collection,Museum_accession,Sex,Museum_genus,Museum_species,Museum_subspecies,Specimen_label_photos,MMB_scan_url,Markup_1,Markup_2,Markup_3,Markup_4
Agelastes_niger_1,Agelastes_niger,Black Guineafowl,Tring,1911.5.31.9,M,Agelastes,niger,,,https://www.markmybird.org/gallery/agelastes_niger/44,44_Chris,56_hughbrazier,43_elliot,396_Arasevera
Numida_meleagris_1,Numida_meleagris,Helmeted Guineafowl,Tring,1922.12.8.29,M,Numida,meleagris,meleagris,Y,https://www.markmybird.org/gallery/numida_meleagris/1090,147_EllenB75,44_Chris,20_angela,480_KateB
Guttera_plumifera_1,Guttera_plumifera,Plumed Guineafowl,Tring,1902.5.16.7,M,Guttera,plumifera,plumifera,Y,https://www.markmybird.org/gallery/guttera_plumifera/854,36_zoe,40_chris13,43_elliot,
Acryllium_vulturinum_1,Acryllium_vulturinum,Vulturine Guineafowl,Tring,1910.4.30.8,M,Acryllium,vulturinum,,Y,https://www.markmybird.org/gallery/acryllium_vulturinum/512,40_chris13,43_elliot,696_RichardParker,
Dendrortyx_macroura_1,Dendrortyx_macroura,Long-tailed Wood-partridge,Tring,91.10.21.220,M,Dendrortyx,macroura,oaxacae,Y,https://www.markmybird.org/gallery/dendrortyx_macroura/3379,40_chris13,44_Chris,43_elliot,
Oreortyx_pictus_1,Oreortyx_pictus,Mountain Quail,Tring,88.10.10.2605,M,Oreortyx,picta,,Y,https://www.markmybird.org/gallery/oreortyx_pictus/319,175_JohnF,200_drmtbishop,363_Peregrin3,44_Chris
Callipepla_squamata_1,Callipepla_squamata,Scaled Quail,Tring,91.10.21.150,M,Callipepla,squamata,,Y,https://www.markmybird.org/gallery/callipepla_squamata/1234,43_elliot,36_zoe,529_EmmaD,44_Chris
Philortyx_fasciatus_1,Philortyx_fasciatus,Banded Quail,Tring,91.10.21.206,M,Philortyx,fasciatus,,Y,https://www.markmybird.org/gallery/philortyx_fasciatus/1679,20_angela,36_zoe,52_grrlscientist,44_Chris
Colinus_cristatus_1,Colinus_cristatus,Crested Bobwhite,Tring,89.6.1.31,M,Colinus,cristatus,sonnini,Y,https://www.markmybird.org/gallery/colinus_cristatus/127,35_Lara,592_angelaMc,43_elliot,44_Chris
Odontophorus_capueira_1,Odontophorus_capueira,Spot-winged Wood-quail,Tring,1903.12.15.148,M,Odontophorus,capueira,,Y,https://www.markmybird.org/gallery/odontophorus_capueira/3410,35_Lara,44_Chris,43_elliot,
Dactylortyx_thoracicus_1,Dactylortyx_thoracicus,Singing Quail,Tring,89.6.1.111,M,Dactylortyx,thoracicus,sharpei,Y,https://www.markmybird.org/gallery/dactylortyx_thoracicus/1908,52_grrlscientist,36_zoe,40_chris13,
Cyrtonyx_montezumae_1,Cyrtonyx_montezumae,Montezuma Quail,Tring,130.2,M,Cyrtonyx,montezumae,montezumae,Y,https://www.markmybird.org/gallery/cyrtonyx_montezumae/1910,4_gavin,52_grrlscientist,40_chris13,44_Chris
Rhynchortyx_cinctus_1,Rhynchortyx_cinctus,Tawny-faced Quail,Tring,1900.6.30.93,M,Rhynchortyx,cinctus,cinctus,Y,https://www.markmybird.org/gallery/rhynchortyx_cinctus/1614,114_tdjames,36_zoe,52_grrlscientist,44_Chris
Anhima_cornuta_2,Anhima_cornuta,Horned Screamer,Tring,NA,U,Anhima,cornuta,,,https://www.markmybird.org/gallery/anhima_cornuta/48,485_oharar,43_elliot,44_Chris,396_Arasevera
